title,artist,estimated_year,spotify_track_id,isrc
Wann wird's mal wieder richtig Sommer,Rudi Carrell,2007,59VR9MekNIMRLxQYfSn3Qr,DEF457500504
You Can Call Me Al,Paul Simon,1986,0qxYx4F3vm1AOnfux6dDxP,USSM11002274
Start Me Up - Remastered 2009,The Rolling Stones,1981,7HKez549fwJQDzx3zLjHKC,GBUM70909474
The Twist,Chubby Checker,1962,6DSvUZQdqtNfkJI4cAiUsM,USI4R0502237
Blurred Lines,"Robin Thicke, T.I., Pharrell Williams",2020,2pgbGOb00WrlXY3ZRFKn7v,USUM71302150
Hangover,"Taio Cruz, Flo Rida",2011,23TrBtndcavtlYBQg5GoR8,GBUM71108687
One More Time - Radio Edit,Daft Punk,2000,2Uy6EhQXAYkXA6MohPgjpV,GBDUW0000054
China In Your Hand - Single Version,T'Pau,2005,3U9B0ZcnVPisVh9wGOg6qL,GBAAA8700001
The Best,Tina Turner,1989,6pPWRBubXOBAHnjl5ZIujB,USCA28900109
The Hustle,Van McCoy & The Soul City Symphony,2007,2yDXsPUm95218qlAQfnilm,GBF087500039
Piece of My Heart,Erma Franklin,2009,2GbePPrWWSRxcmW6QRSPae,USSM11100157
"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",Eric Carmen,1987,7eafuv44YprITfOdzfVLoU,USBMG0100041
Karma Chameleon,Culture Club,1983,3XDeeP9wBZzGhIPZmLfEEx,GBAAA8300010
99 Luftballons,Nena,1983,4ZhPLoMzZwewHLLjV1J15c,DEE868300011
Beinhart - Single Version,Torfrock,2006,2zygsl5Awjq2CuJc1L55x0,DEZ650603481
In Da Club,50 Cent,2003,7iL6o9tox1zgHpKUfh9vuC,USIR10300033
Don't Go,Yazoo,1982,5JOVSWohrjXW0BFTboh8XO,GBAJH9600227
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,1987,2tUBqZG2AbRi7Q0BIrVrEj,USAR18700121
7 Years,Lukas Graham,2016,5kqIPrATaCc2LqxVWzQGbk,USWB11506516
Sugar-Baby,Peter Kraus,1989,6OnOIWxhezuZjF4APOl7oF,DEF066310300
Lean On,"Major Lazer, DJ Snake, MØ",2015,2YWjW3wwQIBLNhxWKBQd16,QMUY41500008
Einmal um die Welt,CRO,2012,2L6hCTpUlR2p7Su3hiSB0s,DEW921100151
Ich will keine Schokolade,Trude Herr,2011,2uwDgQNRc1zS5khCPVM0jl,DEF075902660
80 Millionen,Max Giesinger,2016,4EB11zPPq3jDbhnwWpzFL9,DELV41600001
Friday I'm In Love,The Cure,1992,4QlzkaRHtU8gAdwqjWmO8n,GBALB9200002
"What Is Love - 7"" Mix",Haddaway,1993,2IHaGyfxNoFPLJnaEg4GTs,DEA410500401
Auf uns,Andreas Bourani,2014,6dXt4t5jgySnVTeTpT4C0l,DEUM71400465
Don't Stop Believin',Journey,1981,4bHsxqR3GMrXTxEPLuK5ue,USSM18100116
Orinoco Flow,Enya,2001,0Fyj9w0HVfjoxm9S8nGClt,GBAHT8802584
Über den Wolken,Reinhard Mey,1983,5JSzcnZbYk3qv3nEn5Bo41,DEC649800506
Rehab,Amy Winehouse,2006,3N4DI1vuTSX1tz7fa2NQZw,GBUM70603730
Liebeskummer lohnt sich nicht,Siw Malmkvist,2004,3DMk51IjcSdYmUT51QWfm1,SEPQD6421810
You Make Me Feel (Mighty Real),Sylvester,1978,0RnCUYXa7jhgTXtiMXF2PQ,USC4R2002968
Sweet Home Alabama,Lynyrd Skynyrd,1974,7e89621JPkKaeDSTQ3avtg,USMC17446153
